+----+-----+-----+----+
|Year|Month|count|Rank|
+----+-----+-----+----+
|2010|1    |15750|1   |
|2010|3    |15653|2   |
|2010|4    |15516|3   |
|2011|1    |18269|1   |
|2011|7    |18257|2   |
|2011|8    |18041|3   |
|2012|1    |22983|1   |
|2012|8    |22832|2   |
|2012|5    |22525|3   |
|2013|8    |9112 |1   |
|2013|7    |8956 |2   |
|2013|1    |8682 |3   |
|2014|7    |12106|1   |
|2014|8    |11990|2   |
|2014|12   |11969|3   |
|2015|8    |13857|1   |
|2015|10   |13502|2   |
|2015|9    |13365|3   |
|2016|8    |14596|1   |
|2016|7    |14479|2   |
|2016|12   |14323|3   |
|2017|10   |33585|1   |
|2017|7    |33357|2   |
|2017|8    |33297|3   |
|2018|11   |15613|1   |
|2018|10   |15341|2   |
|2018|12   |15198|3   |
|2019|7    |19122|1   |
|2019|8    |18979|2   |
|2019|3    |18856|3   |
|2020|1    |6090 |1   |
|2020|2    |5869 |2   |
|2020|5    |5530 |3   |
|2021|7    |34744|1   |
|2021|8    |33653|2   |
|2021|10   |33639|3   |
|2022|7    |16748|1   |
|2022|8    |16526|2   |
|2022|5    |15833|3   |
|2023|7    |37594|1   |
|2023|8    |37500|2   |
|2023|10   |37033|3   |
+----+-----+-----+----+


Execution time:  0.23599624633789062
